Species,ID_pine,ID_spruce,GO,ID_arabidopsis,Gene name,Gene description,Expression,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Norway spruce,,MA_10434303g0010,GO:0006810,AT5G59310.1,LTP4,lipid transfer protein 4,SHADE>SUN,104.8531171,-1.013059182,0.234612243,-4.318014983,1.57E-05,0.000666813
Scots pine ,PITA_000013168,MA_10434303g0010,GO:0006810,AT5G59310.1,LTP4,lipid transfer protein 4,SHADE<SUN,165.0948969,0.012362497,0.359106594,0.034425703,0.972537687,0.996139759
Scots pine ,PITA_000013167,MA_10434303g0010,GO:0006810,AT5G59310.1,LTP4,lipid transfer protein 4,SHADE>SUN,92.16527467,-0.052551359,0.326177515,-0.161112758,0.872004592,0.977625025
Scots pine ,PITA_000000692,MA_10434303g0010,GO:0006810,AT5G59310.1,LTP4,lipid transfer protein 4,SHADE>SUN,183.9772258,-0.056215975,0.284091206,-0.197880024,0.843138934,0.968817908
Scots pine ,PITA_000054236,MA_10434303g0010,GO:0006810,AT5G59310.1,LTP4,lipid transfer protein 4,SHADE>SUN,291.7762219,-0.289604003,0.539146699,-0.53715251,0.591162272,0.889155311
Scots pine ,PITA_000018868,MA_10434303g0010,GO:0006810,AT5G59310.1,LTP4,lipid transfer protein 4,SHADE>SUN,79.03784245,-0.615822877,0.289486801,-2.127291726,0.033395852,0.191328876
Scots pine ,PITA_000090612,MA_10434303g0010,GO:0006810,AT5G59310.1,LTP4,lipid transfer protein 4,SHADE>SUN,280.0535414,-0.70764425,0.378436812,-1.869913885,0.061495777,0.290386282
Norway spruce,,MA_10434319g0010,,AT5G58360.1,ATOFP3,,,,,,,,
Scots pine ,PITA_000046537,MA_10434319g0010,,AT5G58360.1,ATOFP3,,,,,,,,
Norway spruce,,MA_10434495g0020,,AT1G12570.1,,Glucose-methanol-choline (GMC) oxidoreductase family protein,SHADE<SUN,36738.56949,2.809134878,0.42525115,6.605825477,3.95E-11,6.60E-09
Scots pine ,PITA_000090672,MA_10434495g0020,,AT1G12570.1,,Glucose-methanol-choline (GMC) oxidoreductase family protein,SHADE<SUN,17.2016696,1.443701449,0.856890731,1.68481394,0.092024474,0.375809369
Scots pine ,PITA_000086353,MA_10434495g0020,,AT1G12570.1,,Glucose-methanol-choline (GMC) oxidoreductase family protein,SHADE>SUN,403.8486354,-0.061887872,0.518800259,-0.119290364,0.905045318,0.985299045
Norway spruce,,MA_10434585g0020,,AT3G25950.1,,TRAM,,,,,,,
Scots pine ,PITA_000005642,MA_10434585g0020,,AT3G25950.1,,TRAM,,,,,,,
Scots pine ,PITA_000047015,MA_10434585g0020,,AT3G25950.1,,TRAM,,,,,,,
Scots pine ,PITA_000094888,MA_10434585g0020,,AT3G25950.1,,TRAM,,,,,,,
Scots pine ,PITA_000062972,MA_10434585g0020,,AT3G25950.1,,TRAM,,,,,,,
Scots pine ,PITA_000085440,MA_10434585g0020,,AT3G25950.1,,TRAM,,,,,,,
Norway spruce,,MA_10434639g0010,,AT5G43830.1,,Aluminium induced protein with YGL and LRDR motifs,SHADE>SUN,17.49360906,-2.012322126,0.462176315,-4.35401396,1.34E-05,0.000579766
Scots pine ,PITA_000073366,MA_10434639g0010,,AT5G43830.1,,Aluminium induced protein with YGL and LRDR motifs,SHADE>SUN,10.17282769,-0.60102899,0.648275675,-0.927119455,0.353864516,0.730833008
Norway spruce,,MA_10434730g0010,,AT3G15730.1,PLD,,,,,,,,
Scots pine ,PITA_000069021,MA_10434730g0010,,AT3G15730.1,PLD,,,,,,,,
Norway spruce,,MA_10434779g0010,GO:0004713,AT4G32830.1,AtAUR1,,,,,,,,
Scots pine ,PITA_000087697,MA_10434779g0010,GO:0004713,AT4G32830.1,AtAUR1,,,,,,,,
Norway spruce,,MA_10434800g0010,,AT5G23230.1,NIC2,nicotinamidase 2,SHADE<SUN,29.02322084,3.756681412,0.725259289,5.179777037,2.22E-07,1.65E-05
Scots pine ,PITA_000027205,MA_10434800g0010,,AT5G23230.1,NIC2,nicotinamidase 2,SHADE>SUN,45.79278844,-0.630840041,0.246228305,-2.562012688,0.010406752,0.080889657
Norway spruce,,MA_10434829g0020,GO:0009407,AT2G35730.1,,Heavy metal transport/detoxification superfamily protein ,SHADE>SUN,199.2204984,-2.31005029,0.336919988,-6.856376507,7.06E-12,1.32E-09
Scots pine ,PITA_000027578,MA_10434829g0020,GO:0009407,AT2G35730.1,,Heavy metal transport/detoxification superfamily protein ,SHADE<SUN,1920.951044,1.033043243,0.535830743,1.927928281,0.053864047,0.267014312
Norway spruce,,MA_10434848g0010,,AT5G07990.1,CYP75B1,,,,,,,,
Scots pine ,PITA_000047329,MA_10434848g0010,,AT5G07990.1,CYP75B1,,,,,,,,
Scots pine ,PITA_000005612,MA_10434848g0010,,AT5G07990.1,CYP75B1,,,,,,,,
Scots pine ,PITA_000074708,MA_10434848g0010,,AT5G07990.1,CYP75B1,,,,,,,,
Scots pine ,PITA_000010840,MA_10434848g0010,,AT5G07990.1,CYP75B1,,,,,,,,
Norway spruce,,MA_10434923g0010,GO:0016740,AT3G18090.1,NRPD2B,nuclear RNA polymerase D2B,SHADE<SUN,160.9954137,1.027144359,0.295579913,3.475014082,0.000510827,0.011425193
Scots pine ,PITA_000003139,MA_10434923g0010,GO:0016740,AT3G18090.1,NRPD2B,nuclear RNA polymerase D2B,SHADE<SUN,62.39282224,0.807742077,0.552002683,1.463293752,0.143387017,0.486564133
Scots pine ,PITA_000015651,MA_10434923g0010,GO:0016740,AT3G18090.1,NRPD2B,nuclear RNA polymerase D2B,SHADE>SUN,65.73753939,-0.153975809,0.234076307,-0.657801771,0.510665516,0.847300217
Norway spruce,,MA_10434958g0010,GO:0005506,AT5G07990.1,CYP75B1,,,,,,,,
Scots pine ,PITA_000017562,MA_10434958g0010,GO:0005506,AT5G07990.1,CYP75B1,,,,,,,,
Norway spruce,,MA_10434996g0010,GO:0005345,AT3G10960.1,ATAZG1,,,,,,,,
Scots pine ,PITA_000082287,MA_10434996g0010,GO:0005345,AT3G10960.1,ATAZG1,,,,,,,,
Norway spruce,,MA_10435025g0010,,AT1G13520.1,,Protein of unknown function (DUF1262),SHADE>SUN,122.8466619,-2.367256931,0.314752784,-7.521003954,5.44E-14,1.41E-11
Scots pine ,PITA_000013311,MA_10435025g0010,,AT1G13520.1,,Protein of unknown function (DUF1262),SHADE<SUN,40.1921114,0.55138723,0.433977155,1.270544368,0.203890789,0.591185107
Scots pine ,PITA_000026124,MA_10435025g0010,,AT1G13520.1,,Protein of unknown function (DUF1262),SHADE>SUN,82.51629499,-0.349673251,0.518931454,-0.673833216,0.500417355,0.83996625
Scots pine ,PITA_000065290,MA_10435025g0010,,AT1G13520.1,,Protein of unknown function (DUF1262),SHADE>SUN,100.4360158,-0.365467926,0.305496528,-1.196307953,0.231576406,0.629872948
Scots pine ,PITA_000031908,MA_10435025g0010,,AT1G13520.1,,Protein of unknown function (DUF1262),SHADE>SUN,80.20622453,-0.399610056,0.363715409,-1.098688826,0.271903818,0.67982564
Scots pine ,PITA_000031907,MA_10435025g0010,,AT1G13520.1,,Protein of unknown function (DUF1262),SHADE>SUN,70.24165906,-0.44404169,0.305624314,-1.452900407,0.146251408,0.492236895
Scots pine ,PITA_000047830,MA_10435025g0010,,AT1G13520.1,,Protein of unknown function (DUF1262),SHADE>SUN,47.23287349,-0.633776497,0.419750033,-1.509890284,0.131071422,0.461774965
Norway spruce,,MA_10435069g0020,GO:0008152,AT1G02205.2,CER1,Fatty acid hydroxylase superfamily,SHADE>SUN,53.01500962,-2.185724409,0.395509491,-5.526351352,3.27E-08,3.00E-06
Scots pine ,PITA_000036766,MA_10435069g0020,GO:0008152,AT1G02205.2,CER1,Fatty acid hydroxylase superfamily,SHADE<SUN,92.51511461,0.005567384,0.160886664,0.034604384,0.972395206,0.996139759
Norway spruce,,MA_10435166g0010,GO:0004650,AT1G19170.1,,Pectin lyase-like superfamily protein,SHADE<SUN,180.4434061,1.00594416,0.292424033,3.440018761,0.000581674,0.012701157
Scots pine ,PITA_000077087,MA_10435166g0010,GO:0004650,AT1G19170.1,,Pectin lyase-like superfamily protein,SHADE<SUN,127.2654865,0.372909654,0.216440183,1.722922466,0.084902547,0.35705718
Norway spruce,,MA_10435304g0010,,AT3G51240.1,F3'H,,,,,,,,
Scots pine ,PITA_000017254,MA_10435304g0010,,AT3G51240.1,F3'H,,,,,,,,
Scots pine ,PITA_000051369,MA_10435304g0010,,AT3G51240.1,F3'H,,,,,,,,
Scots pine ,PITA_000073613,MA_10435304g0010,,AT3G51240.1,F3'H,,,,,,,,
Norway spruce,,MA_10435321g0020,GO:0005524,AT5G57480.1,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,SHADE<SUN,284.2352393,0.874032385,0.228766668,3.820628216,0.000133112,0.003927189
Scots pine ,PITA_000019384,MA_10435321g0020,GO:0005524,AT5G57480.1,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,SHADE>SUN,56.57187427,-0.358427336,0.481497123,-0.744401824,0.456633416,0.813881704
Norway spruce,,MA_10435380g0010,GO:0003677,AT3G08500.1,AtMYB83,,,,,,,,
Scots pine ,PITA_000038222,MA_10435380g0010,GO:0003677,AT3G08500.1,AtMYB83,,,,,,,,
Norway spruce,,MA_10435501g0030,GO:0005634,AT2G39050.1,,hydroxyproline-rich glycoprotein family protein,SHADE<SUN,303.2839989,1.428001903,0.262151703,5.447234897,5.12E-08,4.49E-06
Scots pine ,PITA_000070920,MA_10435501g0030,GO:0005634,AT2G39050.1,,hydroxyproline-rich glycoprotein family protein,SHADE<SUN,97.41659817,0.098373839,0.591828913,0.166220063,0.867983771,0.976373641
Scots pine ,PITA_000054339,MA_10435501g0030,GO:0005634,AT2G39050.1,,hydroxyproline-rich glycoprotein family protein,SHADE<SUN,151.3246561,0.179478125,0.32663616,0.549474145,0.582680103,0.885190807
Scots pine ,PITA_000022467,MA_10435501g0030,GO:0005634,AT2G39050.1,,hydroxyproline-rich glycoprotein family protein,SHADE<SUN,93.19412664,0.351068868,0.363570736,0.965613659,0.334237538,0.730295799
Scots pine ,PITA_000031653,MA_10435501g0030,GO:0005634,AT2G39050.1,,hydroxyproline-rich glycoprotein family protein,SHADE>SUN,74.87804051,-0.371784022,0.370559826,-1.00330364,0.31571438,0.730295799
Scots pine ,PITA_000091401,MA_10435501g0030,GO:0005634,AT2G39050.1,,hydroxyproline-rich glycoprotein family protein,SHADE>SUN,144.2042303,-0.729271174,0.723088423,-1.008550477,0.313190268,0.727707727
Scots pine ,PITA_000021744,MA_10435501g0030,GO:0005634,AT2G39050.1,,hydroxyproline-rich glycoprotein family protein,SHADE>SUN,50.80394428,-0.891233047,0.44431503,-2.005858426,0.044871355,0.234893053
Scots pine ,PITA_000050725,MA_10435501g0030,GO:0005634,AT2G39050.1,,hydroxyproline-rich glycoprotein family protein,SHADE>SUN,36.55754636,-1.591604333,0.56500665,-2.816965666,0.004847971,0.044638146
Norway spruce,,MA_10435567g0020,,AT5G67270.1,ATEB1C,,,,,,,,
Scots pine ,PITA_000065916,MA_10435567g0020,,AT5G67270.1,ATEB1C,,,,,,,,
Scots pine ,PITA_000072987,MA_10435567g0020,,AT5G67270.1,ATEB1C,,,,,,,,
Norway spruce,,MA_10435600g0010,,AT4G36850.1,,PQ-loop repeat family protein / transmembrane family protein,SHADE>SUN,42.68133512,-1.557499418,0.296990156,-5.244279599,1.57E-07,1.20E-05
Scots pine ,PITA_000074376,MA_10435600g0010,,AT4G36850.1,,PQ-loop repeat family protein / transmembrane family protein,SHADE<SUN,42.76713976,0.007657012,0.234823055,0.032607581,0.973987524,0.996513055
Scots pine ,PITA_000063270,MA_10435600g0010,,AT4G36850.1,,PQ-loop repeat family protein / transmembrane family protein,SHADE>SUN,45.02580842,-0.53632277,0.415050044,-1.292188201,0.196291977,0.579767188
Norway spruce,,MA_10435665g0010,,AT3G14205.1,,Phosphoinositide phosphatase family protein,SHADE>SUN,48.74228403,-1.138239627,0.330793008,-3.440942216,0.000579692,0.012664565
Scots pine ,PITA_000011812,MA_10435665g0010,,AT3G14205.1,,Phosphoinositide phosphatase family protein,SHADE<SUN,68.48277839,0.052440737,0.293168459,0.178875781,0.85803524,0.973528205
Scots pine ,PITA_000021858,MA_10435665g0010,,AT3G14205.1,,Phosphoinositide phosphatase family protein,SHADE>SUN,48.05911829,-0.012090331,0.235017464,-0.051444395,0.95897141,0.993939785
Norway spruce,,MA_10435679g0010,,AT1G58390.1,,Disease resistance protein (CC-NBS-LRR class) family,SHADE>SUN,104.9840466,-1.341729811,0.318749294,-4.209357747,2.56E-05,0.000999819
Scots pine ,PITA_000095020,MA_10435679g0010,,AT1G58390.1,,Disease resistance protein (CC-NBS-LRR class) family,SHADE<SUN,137.788535,0.465276385,0.770196275,0.604101059,0.545776456,0.868681639
Scots pine ,PITA_000082693,MA_10435679g0010,,AT1G58390.1,,Disease resistance protein (CC-NBS-LRR class) family,SHADE>SUN,138.1408534,-0.671101945,0.787129306,-0.852594282,0.393884335,0.762997569
Scots pine ,PITA_000028387,MA_10435693g0020,,AT1G69870.1,NRT1.7,nitrate transporter 1.7,SHADE<SUN,255.8079091,0.240668201,0.753179711,0.319536224,0.749319927,0.942880102
Scots pine ,PITA_000075274,MA_10435693g0020,,AT1G69870.1,NRT1.7,nitrate transporter 1.7,SHADE<SUN,1368.344655,0.679173477,0.742880118,0.914243712,0.3605888,0.735343879
Norway spruce,,MA_10435813g0010,,AT4G10310.1,ATHKT1,,,,,,,,
Scots pine ,PITA_000055603,MA_10435813g0010,,AT4G10310.1,ATHKT1,,,,,,,,
Scots pine ,PITA_000044464,MA_10435813g0010,,AT4G10310.1,ATHKT1,,,,,,,,
Norway spruce,,MA_10435917g0020,GO:0008152,AT4G22880.2,ANS,,,,,,,,
Scots pine ,PITA_000004327,MA_10435917g0020,GO:0008152,AT4G22880.2,ANS,,,,,,,,
Norway spruce,,MA_10435979g0010,,AT2G23790.1,,Protein of unknown function (DUF607),SHADE>SUN,50.50035408,-2.064143783,0.582139174,-3.545790896,0.000391437,0.009300499
Scots pine ,PITA_000069104,MA_10435979g0010,,AT2G23790.1,,Protein of unknown function (DUF607),SHADE>SUN,92.74120308,-0.293909554,0.253936778,-1.157412313,0.247103946,0.65017756
Norway spruce,,MA_10436059g0010,,AT3G03150.1,,unknown,SHADE<SUN,367.8463943,0.998859552,0.15601086,6.402500147,1.53E-10,2.36E-08
Scots pine ,PITA_000090487,MA_10436059g0010,,AT3G03150.1,,unknown,SHADE<SUN,124.3559928,0.414586837,0.174633792,2.37403559,0.017594854,0.120148734
Scots pine ,PITA_000047517,MA_10436059g0010,,AT3G03150.1,,unknown,SHADE>SUN,43.77588733,-0.627114369,0.248294556,-2.52568715,0.011547226,0.087593403
Norway spruce,,MA_10436076g0010,GO:0016772,AT5G40380.1,CRK42,cysteine-rich RLK (RECEPTOR-like protein kinase) 42,SHADE>SUN,28.27438328,-3.913208185,0.718876871,-5.443502695,5.22E-08,4.56E-06
Scots pine ,PITA_000045973,MA_10436076g0010,GO:0016772,AT5G40380.1,CRK42,cysteine-rich RLK (RECEPTOR-like protein kinase) 42,SHADE>SUN,54.39934415,-0.820372634,0.851044637,-0.963959583,0.33506619,0.730295799
Norway spruce,,MA_10436080g0010,GO:0000166,AT3G06350.1,EMB3004,,,,,,,,
Scots pine ,PITA_000013953,MA_10436080g0010,GO:0000166,AT3G06350.1,EMB3004,,,,,,,,
Norway spruce,,MA_10436098g0040,GO:0005351,AT1G19450.1,,Major facilitator superfamily protein,SHADE<SUN,232.9470293,0.588463778,0.168276782,3.496999242,0.000470523,0.010750144
Scots pine ,PITA_000067896,MA_10436098g0040,GO:0005351,AT1G19450.1,,Major facilitator superfamily protein,SHADE<SUN,48.66677403,0.096580281,0.212833335,0.453783618,0.649984576,0.912018127
Scots pine ,PITA_000012987,MA_10436098g0040,GO:0005351,AT1G19450.1,,Major facilitator superfamily protein,SHADE<SUN,93.97241255,0.374279986,0.192649719,1.942800581,0.052040258,0.26078839
Scots pine ,PITA_000036192,MA_10436098g0040,GO:0005351,AT1G19450.1,,Major facilitator superfamily protein,SHADE>SUN,73.14131206,-0.106286068,0.212923856,-0.499174072,0.617656759,0.899496267
Norway spruce,,MA_10436196g0010,GO:0016757,AT2G36970.1,,UDP-Glycosyltransferase superfamily protein,SHADE<SUN,171.859294,1.117894004,0.19278677,5.798603309,6.69E-09,7.18E-07
Scots pine ,PITA_000053388,MA_10436196g0010,GO:0016757,AT2G36970.1,,UDP-Glycosyltransferase superfamily protein,SHADE>SUN,244.147814,-0.036677368,0.752851408,-0.048717937,0.961144081,0.994190155
Norway spruce,,MA_10436234g0010,GO:0005488,AT1G23740.1,,Oxidoreductase,,,,,,,
Scots pine ,PITA_000040712,MA_10436234g0010,GO:0005488,AT1G23740.1,LPR1,Cupredoxin superfamily protein,SHADE<SUN,55.92156655,0.136724774,0.4818576,0.283745185,0.776605664,0.951308868
Scots pine ,PITA_000042718,MA_10436234g0010,GO:0005488,AT1G23740.1,LPR1,Cupredoxin superfamily protein,SHADE<SUN,154.1880291,0.249600368,0.371442501,0.67197579,0.501599109,0.840527487
Scots pine ,PITA_000018354,MA_10436234g0010,GO:0005488,AT1G23740.1,LPR1,Cupredoxin superfamily protein,SHADE<SUN,43.58951228,0.328792604,0.463391155,0.709535779,0.477992057,0.826061616
Scots pine ,PITA_000042847,MA_10436234g0010,GO:0005488,AT1G23740.1,LPR1,Cupredoxin superfamily protein,SHADE<SUN,69.32092902,0.349873615,0.857025465,0.408241796,0.683096166,0.923687591
Scots pine ,PITA_000056855,MA_10436234g0010,GO:0005488,AT1G23740.1,LPR1,Cupredoxin superfamily protein,SHADE<SUN,184.0077068,0.501838207,0.385941953,1.300294522,0.193500045,0.574772771
Scots pine ,PITA_000042716,MA_10436234g0010,GO:0005488,AT1G23740.1,LPR1,Cupredoxin superfamily protein,SHADE<SUN,263.8314033,0.558530587,0.22964758,2.432120505,0.015010712,0.106446025
Scots pine ,PITA_000040713,MA_10436234g0010,GO:0005488,AT1G23740.1,LPR1,Cupredoxin superfamily protein,SHADE>SUN,2.344036875,-0.571276259,0.639902339,-0.892755385,0.371988183,0.746013753
Scots pine ,PITA_000045579,MA_10436234g0010,GO:0005488,AT1G23740.1,LPR1,Cupredoxin superfamily protein,SHADE>SUN,15.41337528,-0.60435218,0.649169913,-0.930961475,0.351873493,0.730381243
Scots pine ,PITA_000069516,MA_10436234g0010,GO:0005488,AT1G23740.1,LPR1,Cupredoxin superfamily protein,SHADE>SUN,50.36221294,-0.902214585,0.829501698,-1.087658514,0.276745889,0.685940962
Scots pine ,PITA_000054708,MA_10436234g0010,GO:0005488,AT1G23740.1,LPR1,Cupredoxin superfamily protein,SHADE>SUN,8.476596499,-1.591818588,0.856717806,-1.858043076,0.063162897,0.296203161
Norway spruce,,MA_10436315g0010,,AT1G25560.1,EDF1,,,,,,,,
Scots pine ,PITA_000075183,MA_10436315g0010,,AT1G25560.1,EDF1,,,,,,,,
Norway spruce,,MA_10436582g0010,,AT3G15730.1,PLD,,,,,,,,
Scots pine ,PITA_000048108,MA_10436582g0010,,AT3G15730.1,PLD,,,,,,,,
Norway spruce,,MA_10436589g0010,GO:0005975,AT2G01630.1,,O-Glycosyl hydrolases family 17 protein,SHADE<SUN,176.560182,1.276125185,0.186076331,6.858073647,6.98E-12,1.31E-09
Scots pine ,PITA_000001116,MA_10436589g0010,GO:0005975,AT2G01630.1,,O-Glycosyl hydrolases family 17 protein,SHADE>SUN,93.87937248,-0.35150263,0.61666347,-0.57000722,0.568672801,0.878887001
Norway spruce,,MA_10436592g0020,,AT5G54300.1,,Protein of unknown function (DUF761),SHADE>SUN,93.51473549,-0.765308833,0.206962717,-3.697810146,0.000217467,0.005822842
Scots pine ,PITA_000064355,MA_10436592g0020,,AT5G54300.1,,Protein of unknown function (DUF761),SHADE>SUN,55.63599258,-0.321370124,0.236998182,-1.356002482,0.175098378,0.544427071
Scots pine ,PITA_000047991,MA_10436592g0020,,AT5G54300.1,,Protein of unknown function (DUF761),SHADE>SUN,31.0644582,-1.276473656,0.465734724,-2.740774073,0.006129464,0.05366202
Norway spruce,,MA_10436687g0010,GO:0016740,AT1G55850.1,ATCSLE1,,,,,,,,
Scots pine ,PITA_000051494,MA_10436687g0010,GO:0016740,AT1G55850.1,ATCSLE1,,,,,,,,
Scots pine ,PITA_000008020,MA_10436687g0010,GO:0016740,AT1G55850.1,ATCSLE1,,,,,,,,
Scots pine ,PITA_000023303,MA_10436687g0010,GO:0016740,AT1G55850.1,ATCSLE1,,,,,,,,
Scots pine ,PITA_000029378,MA_10436687g0010,GO:0016740,AT1G55850.1,ATCSLE1,,,,,,,,
Scots pine ,PITA_000008023,MA_10436687g0010,GO:0016740,AT1G55850.1,ATCSLE1,,,,,,,,
Norway spruce,,MA_10436708g0010,GO:0007127,AT3G62390.1,TBL6,TRICHOME BIREFRINGENCE-LIKE 6,SHADE<SUN,432.3458566,1.09575886,0.30913107,3.544641631,0.000393147,0.00931633
Scots pine ,PITA_000093669,MA_10436708g0010,GO:0007127,AT3G62390.1,TBL6,TRICHOME BIREFRINGENCE-LIKE 6,SHADE>SUN,113.0340588,-0.174468564,0.264137555,-0.660521612,0.508919154,0.846096048
Norway spruce,,MA_10436771g0010,GO:0000015,AT1G74030.1,ENO1,enolase 1,SHADE<SUN,157.1061348,0.76120551,0.198174924,3.841078861,0.000122495,0.003660878
Scots pine ,PITA_000025836,MA_10436771g0010,GO:0000015,AT1G74030.1,ENO1,enolase 1,SHADE<SUN,119.29218,0.389913346,0.204391379,1.907679999,0.056432588,0.275725371
Scots pine ,PITA_000003610,MA_10436771g0010,GO:0000015,AT1G74030.1,ENO1,enolase 1,SHADE<SUN,84.82282796,0.45298898,0.191769533,2.362153008,0.018169141,0.123200965
Norway spruce,,MA_10436881g0010,,AT4G35470.1,PIRL4,plant intracellular ras group-related LRR 4,SHADE>SUN,48.15375041,-1.241506234,0.314679116,-3.945308642,7.97E-05,0.002567045
Scots pine ,PITA_000053917,MA_10436881g0010,,AT4G35470.1,PIRL4,plant intracellular ras group-related LRR 4,SHADE<SUN,72.67370527,0.207674306,0.216676178,0.958454719,0.337833514,0.730295799
Norway spruce,,MA_10437108g0020,GO:0005886,AT2G37900.1,,Major facilitator superfamily protein,SHADE<SUN,4489.98434,2.508910412,0.30608714,8.196719438,2.47E-16,9.06E-14
Scots pine ,PITA_000045799,MA_10437108g0020,GO:0005886,AT2G37900.1,,Major facilitator superfamily protein,SHADE<SUN,547.1042718,1.078766221,0.473435605,2.278591238,0.022691375,0.145387918
Norway spruce,,MA_10437176g0010,GO:0005488,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000082543,MA_10437176g0010,GO:0005488,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000086815,MA_10437176g0010,GO:0005488,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Norway spruce,,MA_10437257g0040,GO:0004365,AT5G54130.2,,Calcium-binding endonuclease/exonuclease/phosphatase family,SHADE<SUN,255.3842895,0.876311435,0.166288352,5.269830536,1.37E-07,1.07E-05
Scots pine ,PITA_000032125,MA_10437257g0040,GO:0004365,AT5G54130.2,,Calcium-binding endonuclease/exonuclease/phosphatase family,SHADE<SUN,114.1143583,0.281271065,0.187354053,1.50128092,0.133282918,0.465991476
Norway spruce,,MA_105806g0010,,AT1G01120.1,KCS1,3-ketoacyl-CoA synthase 1,SHADE>SUN,79.32947227,-1.288071466,0.278102269,-4.631646739,3.63E-06,0.00019617
Scots pine ,PITA_000008510,MA_105806g0010,,AT1G01120.1,KCS1,3-ketoacyl-CoA synthase 1,SHADE>SUN,110.9907537,-0.446328151,0.21216964,-2.103638158,0.035410023,0.199128677
Norway spruce,,MA_106402g0010,,AT4G37580.1,COP3,,,,,,,,
Scots pine ,PITA_000039503,MA_106402g0010,,AT4G37580.1,COP3,,,,,,,,
Scots pine ,PITA_000071318,MA_106402g0010,,AT4G37580.1,COP3,,,,,,,,
Norway spruce,,MA_107159g0010,GO:0005506,AT2G32440.2,ATKAO2,,,,,,,,
Scots pine ,PITA_000058201,MA_107159g0010,GO:0005506,AT2G32440.2,ATKAO2,,,,,,,,
Scots pine ,PITA_000030103,MA_107159g0010,GO:0005506,AT2G32440.2,ATKAO2,,,,,,,,
Norway spruce,,MA_107294g0010,GO:0003824,AT3G51000.1,,alpha/beta-Hydrolases superfamily protein,SHADE<SUN,50.96433643,5.79258607,0.625639145,9.258669506,2.07E-20,1.26E-17
Scots pine ,PITA_000006311,MA_107294g0010,GO:0003824,AT3G51000.1,,alpha/beta-Hydrolases superfamily protein,SHADE<SUN,110.3984553,0.362258798,0.315506716,1.148180941,0.250893876,0.655629323
Norway spruce,,MA_107371g0010,,AT5G22930.1,,Protein of unknown function (DUF1635),SHADE<SUN,131.6047949,1.273715999,0.237541478,5.362078274,8.23E-08,6.84E-06
Scots pine ,PITA_000070212,MA_107371g0010,,AT5G22930.1,,Protein of unknown function (DUF1635),SHADE<SUN,116.3451586,0.085904113,0.239296813,0.358985615,0.719605851,0.93396753
Norway spruce,,MA_107531g0010,GO:0007275,AT5G57800.1,CER3,,,,,,,,
Scots pine ,PITA_000031621,MA_107531g0010,GO:0007275,AT5G57800.1,CER3,,,,,,,,
Norway spruce,,MA_108680g0010,GO:0009636,AT4G01070.1,GT72B1,,,,,,,,
Scots pine ,PITA_000065094,MA_108680g0010,GO:0009636,AT4G01070.1,GT72B1,,,,,,,,
Norway spruce,,MA_109119g0010,GO:0008152,AT1G65060.1,4CL3,4-coumarate:CoA ligase 3,SHADE<SUN,181.9158127,1.273451903,0.242876368,5.243210424,1.58E-07,1.21E-05
Scots pine ,PITA_000074449,MA_109119g0010,GO:0008152,AT1G65060.1,4CL3,4-coumarate:CoA ligase 3,SHADE<SUN,59.96026012,0.080583671,0.856942816,0.094036229,0.925080377,0.987338785
Scots pine ,PITA_000037248,MA_109119g0010,GO:0008152,AT1G65060.1,4CL3,4-coumarate:CoA ligase 3,SHADE>SUN,29.46806609,-0.467456789,0.71270335,-0.65589251,0.511893288,0.847960335
Norway spruce,,MA_109497g0010,,AT5G18460.1,,Protein of Unknown Function (DUF239),SHADE>SUN,96.05631996,-1.297759035,0.243285534,-5.334304167,9.59E-08,7.82E-06
Scots pine ,PITA_000024952,MA_109497g0010,,AT5G18460.1,,Protein of Unknown Function (DUF239),SHADE>SUN,116.890003,-0.240196545,0.650739706,-0.369113093,0.71204343,0.932509071
Norway spruce,,MA_109804g0010,GO:0001666,AT4G27450.1,,Aluminium induced protein with YGL and LRDR motifs,SHADE>SUN,32.53616745,-1.266964386,0.337824456,-3.750363132,0.000176579,0.004919947
Scots pine ,PITA_000028484,MA_109804g0010,GO:0001666,AT4G27450.1,,Aluminium induced protein with YGL and LRDR motifs,SHADE>SUN,4.488068935,-1.228330917,0.80401319,-1.527749709,0.126574693,0.452940819
Scots pine ,PITA_000072571,MA_109804g0010,GO:0001666,AT4G27450.1,,Aluminium induced protein with YGL and LRDR motifs,SHADE>SUN,12.68299785,-1.245782671,0.854405328,-1.458069876,0.144821284,0.489286471
Norway spruce,,MA_11322g0010,GO:0003677,AT5G47390.1,,myb-like transcription factor family protein,SHADE<SUN,144.3273595,0.626319665,0.169547323,3.694069906,0.000220693,0.005884976
Scots pine ,PITA_000045249,MA_11322g0010,GO:0003677,AT5G47390.1,,myb-like transcription factor family protein,SHADE<SUN,69.90189051,0.116613061,0.225923974,0.516160629,0.605742225,0.894500591
